task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	vmem	rchar	wchar
539	ca/5ffdb6	03f46a77-5bbc-40b0-93b5-5fc5fd690388	sourmash_compute_sketch (SRR4050917_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:39.600	19m 46s	3m 26s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
540	36/5d74c2	0c2bb5c6-d700-47c6-b3a4-7859531456ce	sourmash_compute_sketch (SRR4050918_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:39.545	19m 46s	4m 10s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
541	cb/5eaf59	8df6a9f2-5dfa-4eba-89a1-32c3999295b3	sourmash_compute_sketch (SRR4050919_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:39.069	19m 44s	4m 59s	0.0%	3 MB	19.3 MB	7.5 KB	0
543	08/da6336	fbd7d9b0-4f3f-4762-b61c-d753852aebae	sourmash_compute_sketch (SRR4050921_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:39.232	19m 44s	3m 46s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
542	ea/b1da6b	cc66d3b7-59b7-4a82-8da9-430698a8c355	sourmash_compute_sketch (SRR4050920_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:39.236	19m 45s	4m 27s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
545	1d/9d1fc4	0884bd0a-edfc-46f6-9acf-843e900247a1	sourmash_compute_sketch (SRR4050923_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:39.747	14m 3s	8.7s	0.0%	3 MB	19.3 MB	7.5 KB	0
546	01/cd938d	b44d3d30-bf57-478e-a187-4a906bf7ccec	sourmash_compute_sketch (SRR4050924_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:39.736	19m 47s	4m 11s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
544	06/e9fb25	b727dd45-01c4-4ea3-b783-cbe7a7e2cf74	sourmash_compute_sketch (SRR4050922_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:39.738	19m 47s	3m 22s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
547	6b/21ebee	f73fa010-3d49-4bd1-832c-51f78b526883	sourmash_compute_sketch (SRR4050925_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:39.274	19m 45s	5m 3s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
549	c6/9ec9bf	1bd3afd9-e0e2-4c09-9e73-a62268353c4e	sourmash_compute_sketch (SRR4050927_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	0	2019-03-11 09:55:39.401	14m 25s	14s	0.0%	3.1 MB	19.3 MB	7.5 KB	0
548	33/48e2f8	954add4a-cfac-4076-b3d0-c8633f3279bf	sourmash_compute_sketch (SRR4050926_pass_molecule-protein_ksize-21_log2sketchsize-14)	CACHED	-	2019-03-11 09:55:39.381	-	-	-	-	-	-	-
